check_point0,check_point1,check_point2,check_point3,check_point4,check_point5,check_point6,check_point7,check_point8,check_point9,check_point10,check_point11,check_point12,check_point13,check_point14,check_point15,check_point16,check_point17,check_point18,check_point19,check_point20,month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr,date,sum_checkpointCount
58.0,12.0,4.0,17.0,33.0,49.0,21.0,16.0,16.0,124.8585246923576,7.0,249.56311701354707,58.0,91.0,24.0,3.0,876.6767730996294,17.0,78.0,21.0,6.0,1.0,1.0,23.3,1.8,63.0,2015-01-01,1782.098414805534
75.0,7.0,5.0,15.0,30.0,113.0,27.0,9.0,32.0,2.5356257538078353e-07,11.0,0.0,109.0,177.0,32.0,13.0,780.8212315884609,11.0,57.0,77.0,4.0,1.0,2.0,26.8,0.0,50.0,2015-01-02,1584.8212318420235
79.0,7.0,3.0,7.0,30.0,107.0,36.0,12.0,18.0,0.0,2.0,73.73736905498026,71.0,131.0,33.0,5.0,971.0166691176221,14.0,174.0,40.0,5.0,1.0,3.0,31.1,17.0,41.0,2015-01-03,1818.7540381726023
10.0,1.0,21.0,0.0,10.0,35.0,29.0,1.0,0.0,0.0,0.0,267.0793584026196,6.0,11.0,6.0,1.0,862.9107693365936,1.0,20.0,6.0,0.0,1.0,4.0,20.8,0.4,69.0,2015-01-04,1287.9901277392132
42.0,0.0,2.0,0.0,27.0,90.0,21.0,1.0,1.0,31.017557078670507,6.0,137.50163474777628,0.0,5.0,49.0,20.0,996.4633689125101,0.0,41.0,56.0,10.0,1.0,5.0,29.6,0.0,74.0,2015-01-05,1535.9825607389569
101.0,0.0,1.0,1.0,62.0,153.0,38.0,3.0,22.0,0.0,1.0,331.66869373502686,1.0,12.0,64.0,23.0,1128.6609373075155,29.0,121.0,91.0,5.0,1.0,6.0,31.9,2.2,32.0,2015-01-06,2188.329631042542
121.0,15.0,5.0,3.0,38.0,144.0,35.0,1.0,43.0,11.74872857122773,0.0,30.339942093467016,11.0,24.0,40.0,3.0,1141.0161331539014,5.0,120.0,63.0,4.0,1.0,7.0,35.7,3.8,48.0,2015-01-07,1858.104803818596
70.0,0.0,36.0,0.0,39.0,139.0,36.0,4.0,55.0,59.71237782881326,0.0,36.03447615881487,38.0,67.0,21.0,7.0,1066.4140910726117,1.0,83.0,78.0,2.0,1.0,8.0,35.5,2.2,50.0,2015-01-08,1838.1609450602398
88.0,3.0,5.0,0.0,55.0,135.0,26.0,12.0,46.0,8.165178967156407,1.0,325.9278750594435,26.0,63.0,14.0,10.0,1101.9334259205764,1.0,166.0,79.0,1.0,1.0,9.0,28.4,2.6,57.0,2015-01-09,2167.026479947176
29.0,7.0,6.0,0.0,24.0,70.0,17.0,3.0,20.0,13.350142671729373,0.0,218.2174727877582,15.0,29.0,0.0,7.0,943.5281945803034,0.0,32.0,41.0,1.0,1.0,10.0,29.2,0.4,50.0,2015-01-10,1476.095810039791
66.0,4.0,2.0,4.0,16.0,89.0,27.0,3.0,15.0,1.2256214176886715e-07,0.0,0.0,20.0,27.0,11.0,5.0,998.4408635140085,0.0,38.0,32.0,2.0,1.0,11.0,26.2,0.0,37.0,2015-01-11,1359.4408636365706
183.0,4.0,4.0,16.0,86.0,323.0,62.0,7.0,62.0,0.0,0.0,1.2509644875535741e-08,17.0,99.0,63.0,22.0,1366.994968192559,0.0,84.0,157.0,15.0,1.0,12.0,27.4,4.2,41.0,2015-01-12,2570.9949682050687
183.0,2.0,9.0,17.0,75.0,250.0,41.0,9.0,77.0,15.254036139813707,7.0,0.0,10.0,115.0,15.0,26.0,1226.5168986041713,0.0,72.0,137.0,20.0,1.0,13.0,38.1,0.0,31.0,2015-01-13,2306.770934743985
183.0,2.0,6.0,33.0,84.0,276.0,48.0,16.0,81.0,8.153787780685434,3.0,0.0,7.0,166.0,19.0,39.0,1240.185973551318,0.0,98.0,153.0,11.0,1.0,14.0,36.9,0.0,31.0,2015-01-14,2473.3397613320035
183.0,1.0,7.0,32.0,86.0,297.0,52.0,17.0,59.0,0.0,0.0,4.3655745685100555e-11,9.0,198.0,28.0,25.0,1143.8128683337168,0.0,62.0,189.0,8.0,1.0,15.0,30.8,0.8,35.0,2015-01-15,2396.8128683337604
177.0,5.0,2.0,7.0,108.0,280.0,50.0,14.0,62.0,7.305607141461223e-08,4.0,534.6835680909774,15.0,199.0,28.0,23.0,1177.8084866840245,0.0,92.0,133.0,8.0,1.0,16.0,29.3,1.4,61.0,2015-01-16,2919.4920548480577
48.0,2.0,0.0,0.0,46.0,75.0,22.0,3.0,10.0,0.0,0.0,544.0222177649641,1.0,83.0,5.0,9.0,914.2307235191251,0.0,36.0,24.0,0.0,1.0,17.0,37.4,0.0,32.0,2015-01-17,1822.2529412840893
84.0,1.0,4.0,2.0,52.0,108.0,34.0,6.0,17.0,9.642793325213006,1.0,379.1480021987229,2.0,127.0,22.0,16.0,910.3081783759529,0.0,30.0,46.0,5.0,1.0,18.0,24.3,4.4,41.0,2015-01-18,1856.0989738998887
256.0,1.0,1.0,14.0,130.0,321.0,65.0,6.0,55.0,6.555220111576091,0.0,348.82406030327184,15.0,245.0,86.0,37.0,1235.9985049187594,0.0,167.0,178.0,11.0,1.0,19.0,24.1,1.0,50.0,2015-01-19,3179.3777853336073
262.0,3.0,6.0,20.0,134.0,302.0,47.0,21.0,58.0,18.6006628498576,3.0,289.14159019449653,76.0,243.0,70.0,32.0,1281.932925304016,0.0,201.0,164.0,23.0,1.0,20.0,34.0,0.0,44.0,2015-01-20,3254.67517834837
242.0,2.0,4.0,36.0,154.0,328.0,41.0,13.0,70.0,0.0,4.0,432.2975105504213,117.0,280.0,64.0,32.0,1304.8301030970767,2.0,221.0,188.0,32.0,1.0,21.0,33.7,0.0,31.0,2015-01-21,3567.127613647498
278.0,17.0,5.0,52.0,185.0,382.0,52.0,35.0,63.0,6.817915623711087,3.0,467.12147985102297,137.0,313.0,103.0,49.0,1326.4155555945329,1.0,221.0,245.0,43.0,1.0,22.0,31.7,0.0,31.0,2015-01-22,3984.3549510692665
307.0,8.0,7.0,45.0,196.0,355.0,50.0,22.0,62.0,1.2758846423821524e-07,2.0,718.0815707229458,135.0,332.0,123.0,56.0,1204.0303101677923,0.0,179.0,206.0,26.0,1.0,23.0,24.3,0.0,56.0,2015-01-23,4033.1118810183266
163.0,1.0,5.0,14.0,104.0,170.0,33.0,6.0,14.0,26.43672585863169,5.0,460.72805590543294,124.0,200.0,40.0,15.0,1058.057276376974,0.0,136.0,82.0,13.0,1.0,24.0,19.8,0.4,39.0,2015-01-24,2670.2220581410384
81.0,0.0,1.0,6.0,61.0,95.0,17.0,7.0,11.0,13.067738279445166,0.0,327.6973789267622,65.0,157.0,34.0,8.0,962.5631690672978,0.0,133.0,50.0,16.0,1.0,25.0,27.7,0.0,52.0,2015-01-25,2045.3282862735052
234.0,3.0,6.0,36.0,157.0,340.0,32.0,24.0,50.0,0.0,2.0,315.7228384661189,116.0,310.0,108.0,47.0,1353.583072446098,2.0,258.0,194.0,44.0,1.0,26.0,36.1,0.0,48.0,2015-01-26,3632.305910912217
276.0,1.0,2.0,51.0,165.0,320.0,57.0,20.0,64.0,0.6518768623491269,1.0,329.77692012724447,135.0,276.0,99.0,46.0,1298.4630111999054,3.0,263.0,205.0,43.0,1.0,27.0,30.9,1.2542654350630755,31.0,2015-01-27,3655.891808189499
335.0,0.0,12.0,51.0,178.0,384.0,60.0,16.0,45.0,1.3218952172965146,0.0,301.89805549583207,118.0,338.0,106.0,49.0,1366.1501475282867,10.0,244.0,210.0,36.0,1.0,28.0,29.9,0.0,31.0,2015-01-28,3861.3700982414152
327.0,10.0,38.0,65.0,207.0,437.0,66.0,19.0,48.0,0.0,3.0,547.347893382133,156.0,386.0,139.0,48.0,1369.272349752459,11.0,245.0,231.0,34.0,1.0,29.0,26.2,3.4,46.0,2015-01-29,4386.620243134592
181.0,1.0,3.0,9.0,132.0,294.0,57.0,15.0,47.0,25.263366412660616,1.0,462.1166425755184,99.0,233.0,98.0,23.0,1237.0699801423884,7.0,155.0,145.0,11.0,1.0,30.0,28.4,4.8,39.0,2015-01-30,3235.4499891305677
65.0,3.0,0.0,2.0,35.0,95.0,20.0,8.0,5.0,87.42926488683179,1.0,41.8881773235903,57.0,115.0,16.0,8.0,1071.3313593943794,3.0,141.0,38.0,3.0,1.0,31.0,36.8,0.0,41.0,2015-01-31,1815.6488016048015
54.0,2.0,2.0,6.0,32.0,67.0,18.0,13.0,13.0,55.159256859322795,1.0,183.31867857956195,49.0,127.0,17.0,5.0,941.2878711942383,6.0,124.0,27.0,3.0,2.0,1.0,35.2,0.0,35.0,2015-02-01,1745.765806633123
127.0,0.0,53.0,10.0,70.0,182.0,48.0,12.0,43.0,0.0,0.0,230.6736601217217,57.0,144.0,39.0,4.0,1382.5250213147783,6.0,529.0,94.0,12.0,2.0,2.0,37.9,6.8,56.0,2015-02-02,3043.1986814365
