date,check_point0,check_point1,check_point2,check_point3,check_point4,check_point5,check_point6,check_point7,check_point8,check_point9,check_point10,check_point11,check_point12,check_point13,check_point14,check_point15,check_point16,check_point17,check_point18,check_point19,check_point20,month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr
2015-01-01,58,12,4,17,33.0,49,21,16,16,,7,,58,91,24,3,,17,78,21,6,1,1,23.3,1.8,63.0
2015-01-02,75,7,5,15,30.0,113,27,9,32,,11,,109,177,32,13,,11,57,77,4,1,2,26.8,0.0,50.0
2015-01-03,79,7,3,7,30.0,107,36,12,18,,2,,71,131,33,5,,14,174,40,5,1,3,31.1,17.0,41.0
2015-01-04,10,1,21,0,10.0,35,29,1,0,,0,,6,11,6,1,,1,20,6,0,1,4,20.8,0.4,69.0
2015-01-05,42,0,2,0,27.0,90,21,1,1,,6,,0,5,49,20,,0,41,56,10,1,5,29.6,0.0,74.0
2015-01-06,101,0,1,1,62.0,153,38,3,22,,1,,1,12,64,23,,29,121,91,5,1,6,31.9,2.2,32.0
2015-01-07,121,15,5,3,38.0,144,35,1,43,,0,,11,24,40,3,,5,120,63,4,1,7,35.7,3.8,48.0
2015-01-08,70,0,36,0,39.0,139,36,4,55,,0,,38,67,21,7,,1,83,78,2,1,8,35.5,2.2,50.0
2015-01-09,88,3,5,0,55.0,135,26,12,46,,1,,26,63,14,10,,1,166,79,1,1,9,28.4,2.6,57.0
2015-01-10,29,7,6,0,24.0,70,17,3,20,,0,,15,29,0,7,,0,32,41,1,1,10,29.2,0.4,50.0
2015-01-11,66,4,2,4,16.0,89,27,3,15,,0,,20,27,11,5,,0,38,32,2,1,11,26.2,0.0,37.0
2015-01-12,183,4,4,16,86.0,323,62,7,62,,0,,17,99,63,22,,0,84,157,15,1,12,27.4,4.2,41.0
2015-01-13,183,2,9,17,75.0,250,41,9,77,,7,,10,115,15,26,,0,72,137,20,1,13,38.1,0.0,31.0
2015-01-14,183,2,6,33,84.0,276,48,16,81,,3,,7,166,19,39,,0,98,153,11,1,14,36.9,0.0,31.0
2015-01-15,183,1,7,32,86.0,297,52,17,59,,0,,9,198,28,25,,0,62,189,8,1,15,30.8,0.8,35.0
2015-01-16,177,5,2,7,108.0,280,50,14,62,,4,,15,199,28,23,,0,92,133,8,1,16,29.3,1.4,61.0
2015-01-17,48,2,0,0,46.0,75,22,3,10,,0,,1,83,5,9,,0,36,24,0,1,17,37.4,0.0,32.0
2015-01-18,84,1,4,2,52.0,108,34,6,17,,1,,2,127,22,16,,0,30,46,5,1,18,24.3,4.4,41.0
2015-01-19,256,1,1,14,130.0,321,65,6,55,,0,,15,245,86,37,,0,167,178,11,1,19,24.1,1.0,50.0
2015-01-20,262,3,6,20,134.0,302,47,21,58,,3,,76,243,70,32,,0,201,164,23,1,20,34.0,0.0,44.0
