month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr,day_of_week,sum_checkpointCount
1.0,1.0,23.3,1.8,63.0,Thursday,1782.098414805534
1.0,2.0,26.8,0.0,50.0,Friday,1584.8212318420235
1.0,3.0,31.1,17.0,41.0,Saturday,1818.7540381726023
1.0,4.0,20.8,0.4,69.0,Sunday,1287.9901277392132
1.0,5.0,29.6,0.0,74.0,Monday,1535.9825607389569
1.0,6.0,31.9,2.2,32.0,Tuesday,2188.329631042542
1.0,7.0,35.7,3.8,48.0,Wednesday,1858.104803818596
1.0,8.0,35.5,2.2,50.0,Thursday,1838.16094506024
1.0,9.0,28.4,2.6,57.0,Friday,2167.026479947176
1.0,10.0,29.2,0.4,50.0,Saturday,1476.095810039791
1.0,11.0,26.2,0.0,37.0,Sunday,1359.4408636365706
1.0,12.0,27.4,4.2,41.0,Monday,2570.9949682050687
1.0,13.0,38.1,0.0,31.0,Tuesday,2306.770934743985
1.0,14.0,36.9,0.0,31.0,Wednesday,2473.3397613320035
1.0,15.0,30.8,0.8,35.0,Thursday,2396.8128683337604
1.0,16.0,29.3,1.4,61.0,Friday,2919.4920548480577
1.0,17.0,37.4,0.0,32.0,Saturday,1822.2529412840893
1.0,18.0,24.3,4.4,41.0,Sunday,1856.0989738998887
1.0,19.0,24.1,1.0,50.0,Monday,3179.377785333608
1.0,20.0,34.0,0.0,44.0,Tuesday,3254.67517834837
1.0,21.0,33.7,0.0,31.0,Wednesday,3567.127613647498
1.0,22.0,31.7,0.0,31.0,Thursday,3984.3549510692665
1.0,23.0,24.3,0.0,56.0,Friday,4033.111881018327
1.0,24.0,19.8,0.4,39.0,Saturday,2670.2220581410384
1.0,25.0,27.7,0.0,52.0,Sunday,2045.3282862735048
1.0,26.0,36.1,0.0,48.0,Monday,3632.305910912217
1.0,27.0,30.9,1.2542654350630755,31.0,Tuesday,3655.891808189499
1.0,28.0,29.9,0.0,31.0,Wednesday,3861.3700982414152
1.0,29.0,26.2,3.4,46.0,Thursday,4386.620243134592
1.0,30.0,28.4,4.8,39.0,Friday,3235.449989130568
1.0,31.0,36.8,0.0,41.0,Saturday,1815.6488016048013
2.0,1.0,35.2,0.0,35.0,Sunday,1745.765806633123
2.0,2.0,37.9,6.8,56.0,Monday,3043.1986814365
2.0,3.0,34.5,0.6,31.0,Tuesday,3379.0771380571305
2.0,4.0,24.6,7.0,31.0,Wednesday,2912.7366920589275
2.0,5.0,32.7,0.2,32.0,Thursday,3381.8820349236867
2.0,6.0,35.1,2.4,31.0,Friday,3305.6187527722946
2.0,7.0,33.2,0.2,33.0,Saturday,1911.4848182166772
2.0,8.0,34.2,8.6,65.0,Sunday,1756.175239499414
2.0,9.0,31.7,0.4,59.0,Monday,2431.0021838026423
2.0,10.0,29.0,0.2,32.0,Tuesday,3996.0580910417234
2.0,11.0,32.3,2.2,33.0,Wednesday,3951.20851112384
2.0,12.0,30.8,5.0,43.0,Thursday,2888.340860235001
2.0,13.0,38.9,0.0,43.0,Friday,2854.3144448784387
2.0,14.0,35.4,1.2,50.0,Saturday,1683.6355575952102
2.0,15.0,35.9,0.0,57.0,Sunday,1593.891170066276
2.0,16.0,38.2,0.0,50.0,Monday,2739.623580826468
2.0,17.0,36.6,0.0,31.0,Tuesday,3000.78378296536
2.0,18.0,32.3,0.2,31.0,Wednesday,3842.5387495059504
2.0,19.0,31.3,6.0,57.0,Thursday,2429.3544316041307
2.0,20.0,35.1,1.6,59.0,Friday,2213.022570454682
2.0,21.0,30.6,4.0,31.0,Saturday,1829.708738739684
2.0,22.0,25.6,1.2,50.0,Sunday,1975.9014227952723
2.0,23.0,35.9,0.0,50.0,Monday,2825.236729362522
2.0,24.0,35.1,0.0,41.0,Tuesday,2678.051566295316
2.0,25.0,29.1,0.8,31.0,Wednesday,3200.979423883342
2.0,26.0,35.1,0.0,31.0,Thursday,3165.24796634301
2.0,27.0,33.7,0.0,46.0,Friday,3737.528625513521
2.0,28.0,29.3,0.0,44.0,Saturday,2423.7052398974342
3.0,1.0,28.4,0.2,31.0,Sunday,2220.361941486569
3.0,2.0,25.2,1.0,67.0,Monday,3295.81829283789
3.0,3.0,29.4,6.0,43.0,Tuesday,2783.3629788835224
3.0,4.0,20.0,0.0,61.0,Wednesday,2944.962862431904
3.0,5.0,30.2,0.6,41.0,Thursday,3411.423358275366
3.0,6.0,31.8,0.0,50.0,Friday,3198.586737259351
3.0,7.0,25.8,0.4,41.0,Saturday,2458.106341380234
3.0,8.0,21.4,0.8,37.0,Sunday,2010.0815418157536
3.0,9.0,18.5,1.8,52.0,Monday,4222.291552791884
3.0,10.0,16.1,0.0,33.0,Tuesday,5922.851314155631
3.0,11.0,14.2,0.0,54.0,Wednesday,7301.466110845759
3.0,12.0,22.6,0.0,57.0,Thursday,6119.358754386054
3.0,13.0,24.0,0.0,31.0,Friday,5504.550457531151
3.0,14.0,19.5,7.4,44.0,Saturday,2965.3863174373514
3.0,15.0,22.1,2.0,54.0,Sunday,1687.7322136864218
3.0,16.0,22.6,0.0,31.0,Monday,4076.211637000725
3.0,17.0,21.2,1.8,72.0,Tuesday,4423.954578549652
3.0,18.0,26.5,0.0,57.0,Wednesday,4456.29590804767
3.0,19.0,25.4,0.0,50.0,Thursday,4927.041165974857
3.0,20.0,21.4,0.0,32.0,Friday,5476.661022167074
3.0,21.0,22.3,3.8,67.0,Saturday,2599.574186626593
3.0,22.0,30.2,1.3317242153659663,31.0,Sunday,1995.6403378157725
3.0,23.0,29.0,0.0,46.0,Monday,4102.59483939306
3.0,24.0,24.7,0.0,31.0,Tuesday,5970.997765654116
3.0,25.0,18.9,0.0,48.0,Wednesday,7014.834032584529
3.0,26.0,14.8,0.0,46.0,Thursday,6268.342079775232
3.0,27.0,19.7,3.6,35.0,Friday,5456.452907982774
3.0,28.0,23.6,0.0,37.0,Saturday,4078.890492331516
3.0,29.0,21.3,0.0,44.0,Sunday,4623.908513877672
3.0,30.0,16.3,1.0,59.0,Monday,5527.597424432926
3.0,31.0,19.4,0.0,44.0,Tuesday,8434.495799127193
4.0,1.0,20.4,0.0,43.0,Wednesday,11497.19304490266
4.0,2.0,14.3,0.0,41.0,Thursday,13141.092009632624
